benchmark;Promoted;Demoted;Writes DRAM;Writes PCM;Total writes;Reads on DRAM;Reads on PCM;Total reads;Pages on memory;BUFFER SIZE;TIME TO MIGRATE;COUNTERS SIZE;PROMOTE VALUE;DEMOTE VALUE
Basicmath2020-01-191653;12196;118032;7986814;825802;8812616;7960310;853553;8813863;1606;16;2048;4;4.000000;6.000000
Basicmath2020-01-191653;9849;115979;7786553;1026063;8812616;7760634;1053229;8813863;1606;16;2048;4;5.000000;6.000000
Basicmath2020-01-191653;8075;114470;7647628;1164988;8812616;7620797;1193066;8813863;1606;16;2048;4;6.000000;6.000000
Basicmath2020-01-191653;3916;110965;7296016;1516600;8812616;7269644;1544219;8813863;1606;16;2048;4;7.000000;6.000000
Basicmath2020-01-191653;3916;110965;7296016;1516600;8812616;7269644;1544219;8813863;1606;16;2048;4;8.000000;6.000000
Basicmath2020-01-191653;0;107546;7030967;1781649;8812616;7004767;1809096;8813863;1606;16;2048;4;9.000000;6.000000
Basicmath2020-01-191653;2396;29376;8082046;730570;8812616;8076619;737244;8813863;1606;16;8192;4;4.000000;6.000000
Basicmath2020-01-191653;1559;29174;7917680;894936;8812616;7912100;901763;8813863;1606;16;8192;4;5.000000;6.000000
Basicmath2020-01-191653;1056;29031;7825259;987357;8812616;7819391;994472;8813863;1606;16;8192;4;6.000000;6.000000
Basicmath2020-01-191653;490;28834;7711209;1101407;8812616;7705285;1108578;8813863;1606;16;8192;4;7.000000;6.000000
Basicmath2020-01-191653;490;28834;7711209;1101407;8812616;7705285;1108578;8813863;1606;16;8192;4;8.000000;6.000000
Basicmath2020-01-191653;0;28565;7593442;1219174;8812616;7587384;1226479;8813863;1606;16;8192;4;9.000000;6.000000
Basicmath2020-01-191653;185;7657;8384747;427869;8812616;8384047;429816;8813863;1606;16;32768;4;4.000000;6.000000
Basicmath2020-01-191653;138;7613;8325141;487475;8812616;8324442;489421;8813863;1606;16;32768;4;5.000000;6.000000
Basicmath2020-01-191653;105;7582;8286745;525871;8812616;8286045;527818;8813863;1606;16;32768;4;6.000000;6.000000
Basicmath2020-01-191653;53;7537;8216792;595824;8812616;8216101;597762;8813863;1606;16;32768;4;7.000000;6.000000
Basicmath2020-01-191653;53;7537;8216792;595824;8812616;8216101;597762;8813863;1606;16;32768;4;8.000000;6.000000
Basicmath2020-01-191653;0;7488;8155741;656875;8812616;8155045;658818;8813863;1606;16;32768;4;9.000000;6.000000
Basicmath2020-01-191653;12327;118463;7947511;865105;8812616;7921268;892595;8813863;1606;16;2048;8;4.000000;6.000000
Basicmath2020-01-191653;10870;117277;7825767;986849;8812616;7799253;1014610;8813863;1606;16;2048;8;5.000000;6.000000
Basicmath2020-01-191653;8717;115472;7650659;1161957;8812616;7623779;1190084;8813863;1606;16;2048;8;6.000000;6.000000
